time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_100m (km/h)
2017-01-01T00:00,5.5,96,2.3,0,0,0,2,68,25.8
2017-01-01T01:00,5.8,93,2.1,0,0,0,2,60,30.1
2017-01-01T02:00,5,94,1.4,0,0,0,3,100,29.8
2017-01-01T03:00,5.3,93,1.6,0,0,0,3,100,29.5
2017-01-01T04:00,5.7,91,1.9,0,0,0,3,100,30.3
2017-01-01T05:00,5.9,90,2,0,0,0,3,100,32.3
2017-01-01T06:00,6.3,89,2.6,0,0,0,3,100,29.9
2017-01-01T07:00,6.2,91,2.9,0,0,0,3,100,28.5
2017-01-01T08:00,6.7,92,3.6,0,0,0,3,100,27.3
2017-01-01T09:00,7.4,91,4.3,0.1,0.1,0,51,100,28.3
2017-01-01T10:00,7.7,91,4.7,0.1,0.1,0,51,100,27.8
2017-01-01T11:00,8,92,5.3,0.2,0.2,0,51,100,24.9
2017-01-01T12:00,7.6,94,5.7,0.2,0.2,0,51,100,17.8
2017-01-01T13:00,8,92,6,0.4,0.4,0,51,100,17.4
2017-01-01T14:00,7.9,90,5.6,1.7,1.7,0,61,100,20.2
2017-01-01T15:00,4.4,96,-0.9,2,2,0,61,100,40.5
2017-01-01T16:00,4.4,93,-0.4,0.9,0.9,0,53,100,35.5
2017-01-01T17:00,4.3,92,-0.1,0.7,0.7,0,53,100,32
2017-01-01T18:00,4.3,92,-0.3,0.7,0.7,0,53,100,33.6
2017-01-01T19:00,4.4,93,0,0.7,0.7,0,53,100,31.7
2017-01-01T20:00,4.6,90,-0.3,0.8,0.8,0,53,100,36.2
2017-01-01T21:00,4.6,90,0.4,0.7,0.7,0,53,100,30.4
2017-01-01T22:00,4.6,89,0.4,0.4,0.4,0,51,100,29.3
2017-01-01T23:00,4.3,91,0.1,0.2,0.2,0,51,68,29.8
2017-01-02T00:00,3.8,91,0,0.1,0.1,0,51,56,27.8
2017-01-02T01:00,3.5,90,-0.3,0,0,0,1,48,26.8
2017-01-02T02:00,2.7,91,-1.6,0,0,0,2,51,31.1
2017-01-02T03:00,2.2,91,-2.1,0,0,0,0,10,32
2017-01-02T04:00,2.1,90,-2.2,0,0,0,0,2,32.1
2017-01-02T05:00,2,90,-2,0,0,0,0,4,29.8
2017-01-02T06:00,1.4,91,-2.4,0,0,0,0,0,27.8
2017-01-02T07:00,1.1,90,-2.9,0,0,0,0,0,29.4
2017-01-02T08:00,0.8,89,-3.3,0,0,0,0,0,29.7
2017-01-02T09:00,1.1,86,-3,0,0,0,0,4,27.4
2017-01-02T10:00,2.2,85,-2.1,0,0,0,0,0,25.6
2017-01-02T11:00,3.3,80,-0.9,0,0,0,0,0,23.8
2017-01-02T12:00,3.9,81,-0.4,0,0,0,0,0,22.7
2017-01-02T13:00,4.3,79,0.3,0,0,0,0,0,19.1
2017-01-02T14:00,4.4,79,0.7,0,0,0,0,0,17
2017-01-02T15:00,3.6,85,0.5,0,0,0,0,0,17.7
2017-01-02T16:00,1.1,92,-2.2,0,0,0,0,0,19.2
2017-01-02T17:00,0.4,93,-3,0,0,0,0,0,20.4
2017-01-02T18:00,-0.8,93,-4.5,0,0,0,0,0,19.6
2017-01-02T19:00,-1.3,93,-5,0,0,0,0,0,20.6
2017-01-02T20:00,-2.2,93,-6.2,0,0,0,0,0,18.3
2017-01-02T21:00,-2.6,91,-6.6,0,0,0,0,0,16.6
