,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,17.597261571884154,8.49071009920707,0.7873015880584717,0.2793068100810747,0.001,3,100,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",-0.5490324776789924,-0.5755552845480809,-0.6014656097308092,-0.6017236156779131,-0.5810140170597718,-0.5817582009391135,0.019478206751514487,64
1,86.45259556770324,41.59133884158651,3.488238477706909,0.3224456110928163,0.001,3,700,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 700}",-0.5282041592705089,-0.5564878914416703,-0.5813655645766603,-0.5810477000402041,-0.5620510164840388,-0.5618312663626166,0.01954606050868591,60
2,120.32126226425171,56.706341493702276,4.852093935012817,0.3956072781360911,0.001,3,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1000}",-0.5227426921635272,-0.551660590063785,-0.575681189723659,-0.5747608342283742,-0.5570365684028243,-0.556376374916434,0.019310946722896655,59
3,143.74774632453918,66.53109262121338,6.163319158554077,0.7653830065369772,0.001,3,1200,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1200}",-0.5199242766584191,-0.5492611713755546,-0.5725468780572367,-0.5711991335034559,-0.5544597913880572,-0.5534782501965447,0.01909061859006686,57
4,20.56831521987915,10.773324084133913,0.9897232532501221,0.10367331369179414,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",-0.54699017488422,-0.5737752858915456,-0.5992771354205497,-0.599619295755019,-0.5791239432982426,-0.5797571670499153,0.019418511642182848,63
5,117.76422090530396,58.55670178384991,8.110570764541626,0.8614247208605882,0.001,5,700,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 700}",-0.519902839719572,-0.5483804918533957,-0.5724906787176279,-0.5706514985626683,-0.5531930871352132,-0.5529237191976953,0.019017003030784557,56
6,164.7039858341217,82.17676863000942,11.915383863449097,1.8008562673662745,0.001,5,1000,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1000}",-0.5137726222192087,-0.5415055513158511,-0.5639925554014429,-0.5612399894408071,-0.5462691170498275,-0.5453559670854273,0.017959909841875236,55
7,205.28465461730957,100.11226098877168,15.436243295669556,1.7444934519942825,0.001,5,1200,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1200}",-0.5109768924950814,-0.538362315655473,-0.5603504200975288,-0.556890568330941,-0.5428222797106972,-0.5418804952579442,0.017519917960036917,52
8,27.687269496917725,12.641357951684617,1.8849246978759766,0.199418393081274,0.001,8,100,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 100}",-0.5455809620307335,-0.5712286976350712,-0.5963417638045274,-0.5965887924368107,-0.5763696951823953,-0.5772219822179075,0.018859689274969428,62
9,179.8005904197693,87.79386913905314,17.80862832069397,0.7805638607592151,0.001,8,700,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 700}",-0.5129437591484525,-0.5384363299605475,-0.5612178156546875,-0.5614468930856815,-0.5455302612387879,-0.5439150118176314,0.017880701098684365,53
